# CLUTRR

## CLUTRR with text-davinci-002

% python main.py --dataset clutrr --engine text-davinci-002
100%|█████████████████████████████████████████████████████| 131/131 [00:00<00:00, 152.92it/s]
100.00  131     131     data/clutrr_s/deepproblog_data_2d5007e7/4.3_test.csv
100%|███████████████████████████████████████████████████████| 15/15 [00:00<00:00, 158.42it/s]
100.00  15      15      data/clutrr_s/deepproblog_data_a7d9402e/2.2_test.csv
100%|███████████████████████████████████████████████████████| 16/16 [00:00<00:00, 132.59it/s]
100.00  16      16      data/clutrr_s/deepproblog_data_a7d9402e/2.3_test.csv
100%|███████████████████████████████████████████████████████| 15/15 [00:00<00:00, 150.07it/s]
100.00  15      15      data/clutrr_s/deepproblog_data_6b1c2f15/3.2_test.csv
100%|███████████████████████████████████████████████████████| 16/16 [00:00<00:00, 132.97it/s]
100.00  16      16      data/clutrr_s/deepproblog_data_6b1c2f15/3.3_test.csv
100%|███████████████████████████████████████████████████████| 14/14 [00:00<00:00, 154.60it/s]
100.00  14      14      data/clutrr_s/deepproblog_data_47b0ffea/4.2_test.csv
100%|███████████████████████████████████████████████████████| 16/16 [00:00<00:00, 148.11it/s]
100.00  16      16      data/clutrr_s/deepproblog_data_47b0ffea/4.3_test.csv
99.82   562     563     All
